apnic|*|asn|*|4167|summary
apnic|JP|asn|173|1|20020801|allocated
apnic|NZ|asn|681|1|20020801|allocated
apnic|AU|asn|1221|1|20000131|allocated
apnic|JP|asn|1233|1|20020801|allocated
apnic|KR|asn|1237|1|20020801|allocated
apnic|SG|asn|1250|1|20020801|allocated
apnic|TW|asn|1659|1|20020801|allocated
apnic|KR|asn|1704|1|20020801|allocated
apnic|TW|asn|1768|2|20020801|allocated
apnic|*|ipv4|*|19063|summary
apnic|AU|ipv4|1.0.0.0|256|20100504|assigned
apnic|CN|ipv4|1.0.1.0|256|20110414|allocated
apnic|CN|ipv4|1.0.2.0|512|20110414|allocated
apnic|AU|ipv4|1.0.4.0|1024|20110412|allocated
apnic|CN|ipv4|1.0.8.0|2048|20110412|allocated
apnic|JP|ipv4|1.0.16.0|4096|20110412|allocated
apnic|CN|ipv4|1.0.32.0|8192|20110412|allocated
apnic|JP|ipv4|1.0.64.0|16384|20110412|allocated
apnic|TH|ipv4|1.0.128.0|32768|20110408|allocated
apnic|*|ipv6|*|1786|summary
apnic|JP|ipv6|2001:200::|35|19990813|allocated
apnic|JP|ipv6|2001:200:2000::|35|20030423|allocated
apnic|JP|ipv6|2001:200:4000::|34|20030423|allocated
apnic|JP|ipv6|2001:200:8000::|33|20030423|allocated
apnic|SG|ipv6|2001:208::|35|19990827|allocated
apnic|SG|ipv6|2001:208:2000::|35|20030306|allocated
apnic|SG|ipv6|2001:208:4000::|34|20030306|allocated
apnic|SG|ipv6|2001:208:8000::|33|20030306|allocated
apnic|JP|ipv6|2001:218::|35|19990922|allocated
